EarTag,LabID,CageID,date_of_birth,sacrifice_date,group,bw_13w,bw_15w,bw_24w,bw_54w,bw_56w,bw_93w,bw_95w,bw_64w,bw_103w,ipGTT01_age,ipGTT01_vol_glc,ipGTT01_0min_gly,ipGTT01_15min_gly,ipGTT01_30min_gly,ipGTT01_45min_gly,ipGTT01_60min_gly,ipGTT01_90min_gly,ipGTT01_120min_gly,ipGTT01_150min_gly,ipGTT01_180min_gly,ipGTT01_date,ipGTT01_done_by,VO2max01_age,VO2max01_VO2basal,VO2max01_RERbasal,VO2max01_VO2max,VO2max01_RERmax,VO2max01_distance_run,VO2max01_deltaVO2,VO2max01_deltaRER,VO2max01_VO2_increase_perc,VO2max01_RER_increase_perc,VO2max01_date,EchoMRI_age,EchoMRI_fat,EchoMRI_lean,EchoMRI_weight,EchoMRI_fat_perc,EchoMRI_lean_perc,EchoMRI_date,NIBP01_diastolic_average,NIBP01_systolic_average,NIBP01_pulse_average,NIBP02_diastolic_average,NIBP02_systolic_average,NIBP02_pulse_average,NIBP01_diastolic_stdev,NIBP01_systolic_stdev,NIBP01_pulse_stdev,NIBP02_diastolic_stdev,NIBP02_systolic_stdev,NIBP02_pulse_stdev,NIBP_age,bw_at_sacrifice,tissue_weight_at_sacrifice_heart,tissue_weight_at_sacrifice_liver,tissue_weight_at_sacrifice_epiWAT,tissue_weight_at_sacrifice_BAT,tissue_weight_at_sacrifice_gastrocnemius,tissue_weight_at_sacrifice_soleus
RHO-2904,42-RL,SRHO-00219,2008.11.10,2010.11.12,2_year,,,,,,35.63,35.78,,32.32,95,360,133,329,378,357,342,341,299,260,212,2010.10.26,SL-CT-CC-UDP,96,68.6,0.873,79,1.069,342.6,10.4,0.196,15.16034985,22.4513173,2006.09.12,94,6.581,28.528,36,18.28055556,79.24444444,2010.08.30,83.86473007,100.530124,708.3196317,91.24722936,113.6931173,703.9936361,7.420789477,33.85478606,14.07662342,13.84987489,9.453274632,9.704190093,97,32.32,0.1629,1.4635,1.0863,0.0675,0.3222,0.0223
RHO-2905,43-R,SRHO-00220,2008.11.10,2010.11.12,2_year,,,,,,33.24,31.29,,30.34,95,310,126,411,322,257,223,204,179,158,146,2010.10.26,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,91.15734558,107.9607422,704.2831502,92.77567291,112.0062948,705.4211833,10.56931645,5.768138216,17.54676006,11.06796329,9.525166332,13.61099767,97,30.34,0.1783,1.6375,0.4126,0.0574,0.3097,0.0197
RHO-2906,44-L,SRHO-00220,2008.11.10,2010.11.12,2_year,,,,,,32.37,31.25,,29.8,95,310,119,410,368,316,262,215,197,146,140,2010.10.26,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,84.80084642,109.3512541,699.4846151,85.1320167,116.6325871,694.4800462,18.08161587,11.61583469,11.007425,14.32389654,11.67429311,9.024665353,97,29.8,,,0.4303,0.0443,0.2892,0.0202
RHO-2907,45-R,SRHO-00221,2008.11.10,2010.11.09,2_year,,,,,,35.3,,,35.41,,,,,,,,,,,,,,96,78.9,0.846,91,1.012,375.3,12.1,0.166,15.33586819,19.62174941,2006.09.13,,,,,,,,,,,,,,,,,,,,,35.41,0.1966,1.318,1.263,0.0957,,
RHO-2908,46-L,SRHO-00221,2008.11.10,2010.11.09,2_year,,,,,,32.26,,,33.17,,,,,,,,,,,,,,96,79.1,0.813,97,0.989,330.1,17.9,0.176,22.62958281,21.64821648,2006.09.13,,,,,,,,,,,,,,,,,,,,,33.17,0.1609,1.169,1.253,0.1254,,
RHO-2909,47-RL,SRHO-00221,2008.11.10,,2_year,,,,,,31.43,,,,,,,,,,,,,,,,,96,59.8,0.832,83,1.017,242.8,23.2,0.185,38.79598662,22.23557692,2006.09.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHO-2910,48-R,SRHO-00208,2008.11.10,2010.11.09,2_year,,,,,,33.34,,,34.78,,,,,,,,,,,,,,96,79.7,0.797,93,1.001,308.2,13.3,0.204,16.68757842,25.59598494,2006.09.14,94,7.335,25.863,34.28,21.39731622,75.44632439,2010.08.31,,,,,,,,,,,,,,34.78,0.1646,1.3425,1.6406,0.1007,,
RHO-2911,49-L,SRHO-00208,2008.11.10,2010.11.09,2_year,,,,,,35.47,,,36.36,,,,,,,,,,,,,,96,74.9,0.812,93,0.987,324.9,18.1,0.175,24.16555407,21.55172414,2006.09.14,94,5.86,29.892,36.9,15.88075881,81.00813008,2010.08.31,,,,,,,,,,,,,,36.36,0.206,1.3797,1.2306,0.0898,,
RHO-2912,50-RL,SRHO-00208,2008.11.10,,2_year,,,,,,34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,5.598,27.868,34,16.46470588,81.96470588,2010.08.31,,,,,,,,,,,,,,,,,,,,
RHO-2913,51-2R,SRHO-00208,2008.11.10,2010.11.09,2_year,,,,,,28.81,,,30.98,,,,,,,,,,,,,,96,81.3,0.797,93,0.965,150.2,11.7,0.168,14.39114391,21.07904642,2006.09.14,94,5.572,23.473,29.93,18.61677247,78.4263281,2010.08.31,,,,,,,,,,,,,,30.98,,,1.3378,0.0989,0.24,0.0124
RHO-2914,52-2L,SRHO-00208,2008.11.10,,2_year,,,,,,26.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,3.03,23.622,27.53,11.00617508,85.80457683,2010.08.31,,,,,,,,,,,,,,,,,,,,
RHO-2915,53-R,SRHO-00209,2008.11.10,2010.11.10,2_year,,,,,,36.37,34.86,,34.42,95,350,134,269,446,518,435,510,482,414,371,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,79.60292892,101.8553068,706.3195583,79.92241946,108.5463853,699.1106415,11.44072665,6.620685043,13.32763228,5.810654765,10.4484721,9.057226144,97,34.42,0.1739,1.1369,1.3368,0.2225,0.3635,0.0201
RHO-2916,54-L,SRHO-00209,2008.11.10,2010.11.10,2_year,,,,,,34.87,33.11,,32.51,95,330,120,415,404,388,365,303,268,227,195,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,85.12228298,105.6180246,668.5498535,85.77345167,105.529389,680.0775582,16.62415187,11.30401448,46.01556022,7.23587646,9.662840444,19.96025366,97,32.51,0.1726,1.328,0.9643,0.1599,0.3244,0.023
RHO-2917,55-RL,SRHO-00209,2008.11.10,2010.11.10,2_year,,,,,,36.07,35.73,,35.82,95,360,151,387,383,351,348,345,298,245,205,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,89.24227851,117.8450524,676.6836199,96.3592095,117.2150688,681.1038493,19.34250615,10.76439337,21.89845119,13.16499782,11.03056764,19.39485045,97,35.82,0.1741,1.2497,1.5339,0.1588,0.3671,0.0231
RHO-2918,56-2R,SRHO-00209,2008.11.10,2010.11.10,2_year,,,,,,34.72,33.9,,33.41,95,340,99,338,368,371,358,296,245,212,182,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,86.67935689,103.0173698,722.5603475,77.61236245,91.84177607,732.2199056,9.671940276,11.08215391,11.56285161,14.0923558,13.93326188,8.417421604,97,33.41,0.166,1.166,0.9315,0.1463,0.3547,0.0226
RHO-2919,57-2L,SRHO-00209,2008.11.10,2010.11.10,2_year,,,,,,35.41,37.08,,37.4,95,370,114,306,365,375,348,312,300,282,224,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,,,,,,,,85.19422502,112.2371902,572.9693429,70.64555032,101.5471578,614.6826651,15.9396827,9.832878899,43.1629354,10.77594268,10.56505618,26.83840241,97,37.4,0.159,1.1743,1.6721,0.2233,0.3563,0.0236
