,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day,Diet..LF.or.HF.,cal.g,FEED.KCAL.,FEED.ACC.Kcal.,room.temperature.C
37,1_D1,45.57,101,5/11/15 20:43,119.80353,88.13238,0.569620124,0.735640928,0,3.5,NA,NA,219,18,NA,NA,NA,NA,NA,5/11/15 20:00,5/12/15,11,0,HF,5.21,0,18.235,22
38,1_D1,45.57,101,5/11/15 21:01,150.88227,116.38578,0.723349699,0.771368167,0.02,3.52,NA,NA,1311,744,NA,NA,NA,NA,NA,5/11/15 21:00,5/12/15,12,0,HF,5.21,0.1042,18.3392,22
39,1_D1,45.57,101,5/11/15 21:19,142.45182,105.17556,0.677726792,0.738323736,0.1,3.62,NA,NA,1032,480,NA,NA,NA,NA,NA,5/11/15 21:00,5/12/15,12,0,HF,5.21,0.521,18.8602,22
40,1_D1,45.57,101,5/11/15 21:37,115.65666,83.75766,0.548438869,0.724192277,0,3.62,NA,NA,128,8,NA,NA,NA,NA,NA,5/11/15 21:00,5/12/15,12,0,HF,5.21,0,18.8602,22
41,1_D1,45.57,101,5/11/15 21:55,150.60885,118.20858,0.724288167,0.784871407,0.06,3.68,NA,NA,926,454,NA,NA,NA,NA,NA,5/11/15 21:00,5/12/15,12,0,HF,5.21,0.3126,19.1728,22
42,1_D1,45.57,101,5/11/15 22:13,120.12252,87.4944,0.570171658,0.728376328,0,3.68,NA,NA,154,10,NA,NA,NA,NA,NA,5/11/15 22:00,5/12/15,13,0,HF,5.21,0,19.1728,22
43,1_D1,45.57,101,5/11/15 22:31,129.46437,96.19827,0.616614369,0.743048222,0,3.68,NA,NA,56,5,NA,NA,NA,NA,NA,5/11/15 22:00,5/12/15,13,0,HF,5.21,0,19.1728,22
44,1_D1,45.57,101,5/11/15 22:49,135.20619,104.17302,0.648062955,0.770475228,0.01,3.69,NA,NA,669,72,NA,NA,NA,NA,NA,5/11/15 22:00,5/12/15,13,0,HF,5.21,0.0521,19.2249,22
45,1_D1,45.57,101,5/11/15 23:07,123.63141,92.68938,0.589745841,0.749723553,0.04,3.73,NA,NA,441,180,NA,NA,NA,NA,NA,5/11/15 23:00,5/12/15,14,0,HF,5.21,0.2084,19.4333,22
46,1_D1,45.57,101,5/11/15 23:25,117.93516,91.14,0.565583306,0.772797527,0.03,3.76,NA,NA,156,15,NA,NA,NA,NA,NA,5/11/15 23:00,5/12/15,14,0,HF,5.21,0.1563,19.5896,22
47,1_D1,45.57,101,5/11/15 23:43,117.75288,92.14254,0.565973749,0.78250774,0.03,3.79,NA,NA,157,21,NA,NA,NA,NA,NA,5/11/15 23:00,5/12/15,14,0,HF,5.21,0.1563,19.7459,22
48,1_D1,45.57,101,5/12/15 0:01,127.36815,96.19827,0.608353166,0.755277281,0.07,3.86,NA,NA,205,75,NA,NA,NA,NA,NA,5/12/15 0:00,5/12/15,15,0,HF,5.21,0.3647,20.1106,22
49,1_D1,45.57,101,5/12/15 0:19,115.79337,91.86912,0.557948918,0.79338843,0.05,3.91,NA,NA,121,15,NA,NA,NA,NA,NA,5/12/15 0:00,5/12/15,15,0,HF,5.21,0.2605,20.3711,22
