"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","acclimation"
53,"M10",33.65,22.265,10.585,"Full day","HFD",0.363986301,0,26.5189,NA,108.9726027,83.83561644,0.522183219,0.768447531,2844.931507,1928.890411,NA,NA,-0.158196918,TRUE
54,"M10",33.65,22.265,10.585,"Light","HFD",0.257683784,0,26.5189,NA,103.972973,79.89189189,0.498117919,0.767482274,1953.864865,1295.081081,NA,NA,-0.240434135,TRUE
55,"M11",41.6,23.895,17.02,"Dark","HFD",0.740977778,0,39.7002,NA,131.9722222,104.0833333,0.635218694,0.788056735,3576.75,2389.055556,NA,NA,0.105759083,TRUE
56,"M11",41.6,23.895,17.02,"Light","HFD",0.356251351,0,39.8565,NA,117,91.45945946,0.562251162,0.780083583,1488.810811,889.2972973,NA,NA,-0.205999811,TRUE
57,"M11",41.6,23.895,17.02,"Full day","HFD",0.545979452,0,39.8565,NA,124.3835616,97.68493151,0.598235151,0.784015549,2518.479452,1628.90411,NA,NA,-0.052255699,TRUE
58,"M12",28.35,20.815,6.415,"Light","HFD",0.38722973,0,39.5439,NA,103.9189189,82.13513514,0.500385919,0.789298441,1552.135135,948.5405405,NA,NA,-0.113156189,TRUE
59,"M12",28.35,20.815,6.415,"Full day","HFD",0.54169726,0,39.5439,NA,114.0958904,90.52054795,0.54976763,0.792513712,2705.342466,1727.178082,NA,NA,-0.00807037,TRUE
60,"M12",28.35,20.815,6.415,"Dark","HFD",0.700455556,0,39.1792,NA,124.5555556,99.13888889,0.600521056,0.795818296,3890.583333,2527.444444,NA,NA,0.0999345,TRUE
61,"M13",29.2,20.79,7.54,"Full day","HFD",0.463190411,0,33.0835,NA,116.0958904,90.68493151,0.557831438,0.781026078,3813.726027,2756.123288,NA,NA,-0.094641027,TRUE
62,"M13",29.2,20.79,7.54,"Light","HFD",0.352027027,0,33.0835,NA,108.5675676,84.78378378,0.521635649,0.780524824,2062.72973,1412.189189,NA,NA,-0.169608622,TRUE
63,"M13",29.2,20.79,7.54,"Dark","HFD",0.577441667,0,31.3121,NA,123.8333333,96.75,0.595032667,0.781541256,5613.361111,4137.388889,NA,NA,-0.017591,TRUE
64,"M2",29.05,24.375,3.2,"Dark","LFD",0.691844444,0,37.818,NA,112.9444444,108.0555556,0.5646235,0.954702387,6565.5,4870.805556,NA,NA,0.127220944,TRUE
65,"M2",29.05,24.375,3.2,"Full day","LFD",0.542126027,0,39.0786,NA,105.3561644,97.83561644,0.523414836,0.924515925,4929.780822,3630.068493,NA,NA,0.018711192,TRUE
66,"M2",29.05,24.375,3.2,"Light","LFD",0.396454054,0,39.0786,NA,97.97297297,87.89189189,0.483319919,0.895145313,3338.27027,2422.864865,NA,NA,-0.086865865,TRUE
67,"M3",26.55,22.39,3,"Light","LFD",0.272562162,0,35.6024,NA,94.2972973,81.91891892,0.462227973,0.865986823,1791.756757,1172,NA,NA,-0.189665811,TRUE
68,"M3",26.55,22.39,3,"Full day","LFD",0.48770411,0,35.6024,NA,101.3287671,93.4109589,0.502649192,0.916850044,3938.931507,2819.383562,NA,NA,-0.014945082,TRUE
69,"M3",26.55,22.39,3,"Dark","LFD",0.708822222,0,35.4878,NA,108.5555556,105.2222222,0.544193222,0.969126133,6145.75,4512.527778,NA,NA,0.164629,TRUE
70,"M4",27.3,22.925,3.155,"Full day","LFD",0.51229863,0,36.9394,NA,105.0547945,98.34246575,0.522787712,0.934860189,4868.643836,3598.821918,NA,NA,-0.010489082,TRUE
71,"M4",27.3,22.925,3.155,"Light","LFD",0.369610811,0,36.9394,NA,95.54054054,88.35135135,0.474241865,0.923407455,2256.810811,1542.135135,NA,NA,-0.104631054,TRUE
72,"M4",27.3,22.925,3.155,"Dark","LFD",0.65895,0,36.8248,NA,114.8333333,108.6111111,0.572682056,0.946631055,7553.027778,5712.638889,NA,NA,0.086267944,TRUE
73,"M5",27.05,23.2,2.78,"Light","LFD",0.513118919,0,41.9054,NA,98.89189189,92.75675676,0.492321919,0.937594147,2717.162162,1915.810811,NA,NA,0.020797,TRUE
74,"M5",27.05,23.2,2.78,"Dark","LFD",0.645155556,0,40.4538,NA,118.8333333,112.5833333,0.592839333,0.949336859,7870.444444,5994.083333,NA,NA,0.052316222,TRUE
75,"M5",27.05,23.2,2.78,"Full day","LFD",0.578232877,0,41.9054,NA,108.7260274,102.5342466,0.541892151,0.943385073,5258.506849,3927.013699,NA,NA,0.036340726,TRUE
