"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
47,"D9",23.2,18.03,2.98,"Light","UC Davis",0.474771429,0,28.1534,NA,101.5085538,90.63304615,NA,NA,0.083492834,173.1452991,NA,NA,NA,TRUE
48,"D9",23.2,18.03,2.98,"Full day","UC Davis",0.474316667,0,28.1534,NA,108.0490613,95.87360804,NA,NA,0.13622957,314.1105528,NA,NA,NA,TRUE
49,"M1",17.45,15.81,0.805,"Dark","Umass",0.674866667,0,30.6746,NA,92.91666667,92.05555556,0.467998028,0.985890518,0.293002331,5831.388889,NA,NA,0.206868639,TRUE
50,"M1",17.45,15.81,0.805,"Light","Umass",0.194638095,0,32.47,NA,79.07142857,66.33333333,0.384985167,0.833603543,0.094693186,1742.619048,NA,NA,-0.190347071,TRUE
51,"M1",17.45,15.81,0.805,"Full day","Umass",0.416282051,0,32.47,NA,85.46153846,78.20512821,0.423298795,0.903889839,0.186220484,3629.74359,NA,NA,-0.007016744,TRUE
52,"M10",19,17,1.02,"Light","Umass",0.080947619,0,36.0226,NA,85.64285714,70.64285714,0.4156495,0.82171653,0.076809435,1354.880952,NA,NA,-0.334701881,TRUE
53,"M10",19,17,1.02,"Full day","Umass",0.461828205,0,36.0226,NA,90.32051282,83.23076923,0.448006372,0.913654696,0.156511849,2930.076923,NA,NA,0.013821833,TRUE
54,"M10",19,17,1.02,"Dark","Umass",0.906188889,0,35.7934,NA,95.77777778,97.91666667,0.485756056,1.02091589,0.249497998,4767.805556,NA,NA,0.420432833,TRUE
55,"M11",20.6,18.755,1.17,"Full day","Umass",0.475051282,0,36.6338,NA,94.26923077,87.29487179,0.468063167,0.912047279,0.176347812,3294.512821,NA,NA,0.006988115,TRUE
56,"M11",20.6,18.755,1.17,"Light","Umass",0.140066667,0,36.6338,NA,85.14285714,69.54761905,0.412467667,0.812950293,0.076690264,1315.571429,NA,NA,-0.272401,TRUE
57,"M11",20.6,18.755,1.17,"Dark","Umass",0.865866667,0,35.9844,NA,104.9166667,108,0.532924583,1.027660429,0.292614951,5603.277778,NA,NA,0.332942083,TRUE
58,"M12",19.45,17.745,0.995,"Full day","Umass",0.468684615,0,36.5574,NA,88.91025641,83.01282051,0.4422075,0.924723993,0.137481668,2555.961538,NA,NA,0.026477115,TRUE
59,"M12",19.45,17.745,0.995,"Dark","Umass",0.785222222,0,36.3282,NA,95.36111111,97.75,0.483929639,1.023356842,0.210844933,4010.416667,NA,NA,0.301292583,TRUE
60,"M12",19.45,17.745,0.995,"Light","Umass",0.197366667,0,36.5574,NA,83.38095238,70.38095238,0.406445667,0.840181552,0.074598869,1309.285714,NA,NA,-0.209079,TRUE
61,"M13",16.7,15.385,0.755,"Full day","Umass",0.470153846,0,34.0362,NA,89.02564103,83.28205128,0.44296,0.924122697,0.204366508,3911.435897,NA,NA,0.027193846,TRUE
62,"M13",16.7,15.385,0.755,"Dark","Umass",0.724738889,0,33.807,NA,97.25,97.97222222,0.491619528,1.005411347,0.299763964,5885.833333,NA,NA,0.233119361,TRUE
63,"M13",16.7,15.385,0.755,"Light","Umass",0.251938095,0,34.0362,NA,81.97619048,70.69047619,0.401251833,0.854446711,0.12259726,2219.095238,NA,NA,-0.149313738,TRUE
